SampleIndex,Dice,Jaccard,GT_Count,Pred_Count,TP,FP,FN
247,0.901375190246386,0.820457705163727,202,193,160,33,42
248,0.927061220141507,0.864039251394916,207,194,166,28,41
249,0.940853174502854,0.888312320684371,84,86,69,17,15
250,0.917558425584256,0.847674781966421,59,72,59,13,0
251,0.930108936180589,0.869349196038882,87,83,78,5,9
252,0.891545228255879,0.804313582279102,91,102,83,19,8
253,0.935696402688101,0.879163055589947,85,93,76,17,9
254,0.863359135539508,0.759570733847673,169,167,148,19,21
255,0.971080607250252,0.943786864250927,57,57,54,3,3
256,0.617796984891084,0.446965444394145,40,98,38,60,2
257,0.920191975657727,0.852181086742923,61,65,56,9,5
258,0.906601277801596,0.829158896380242,105,104,94,10,11
259,0.749969170749207,0.599960539532214,37,69,35,34,2
260,0.844062947067239,0.73019801980198,20,29,19,10,1
261,0.935467158503352,0.878758383055764,174,177,155,22,19
262,0.959686200752326,0.922496848014844,66,72,57,15,9
263,0.923400997927038,0.85770188914262,112,103,100,3,12
264,0.955090314278971,0.914041019363238,65,73,61,12,4
265,0.913174808657537,0.840222342959836,102,104,87,17,15
266,0.863252743798622,0.759406050104153,113,111,89,22,24
267,0.918614883693644,0.849479865999376,88,86,78,8,10
268,0.907182240627934,0.830131312241121,263,225,205,20,58
269,0.974546815196173,0.950357197810652,50,48,46,2,4
270,0.931651056040453,0.872047528392306,135,130,116,14,19
271,0.946491020995223,0.898417611864446,94,91,80,11,14
272,0.949946554366444,0.904664956166386,116,110,104,6,12
